,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
739,20.0,Masculino,Pernambuco (PE),Analista de BI,Júnior,1000.0,Até 2 anos,Parda,Nordeste
740,27.0,Masculino,São Paulo (SP),Analista de BI,Júnior,5000.0,Até 2 anos,Parda,Sudeste
741,41.0,Masculino,São Paulo (SP),,,27500.0,de 3 a 4 anos,Branca,Sudeste
742,27.0,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
743,29.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 4 a 6 anos,Branca,Sudeste
744,28.0,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Preta,Sudeste
745,51.0,Masculino,Minas Gerais (MG),,,18000.0,Até 2 anos,Parda,Sudeste
746,40.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,Até 2 anos,Parda,Sudeste
747,26.0,Masculino,São Paulo (SP),Outra opção,Sênior,10000.0,de 7 a 10 anos,Branca,Sudeste
748,25.0,Masculino,Minas Gerais (MG),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sudeste
