,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
888,888,24.0,Masculino,Ceará (CE),,,,,Parda,Nordeste
889,889,38.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
890,890,34.0,Masculino,São Paulo (SP),,,18000.0,de 4 a 6 anos,Branca,Sudeste
891,891,28.0,Masculino,Espírito Santo (ES),Analista de Dados,Sênior,14000.0,de 4 a 6 anos,Parda,Sudeste
892,892,43.0,Masculino,São Paulo (SP),,,22500.0,Até 2 anos,Parda,Sudeste
893,893,51.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,Mais de 10 anos,Parda,Sudeste
894,894,48.0,Masculino,São Paulo (SP),,,22500.0,Mais de 10 anos,Preta,Sudeste
895,895,36.0,Masculino,Santa Catarina (SC),Analista de BI,Sênior,14000.0,de 7 a 10 anos,Branca,Sul
896,896,25.0,Feminino,Rio de Janeiro (RJ),Cientista de dados,Sênior,10000.0,de 3 a 4 anos,Branca,Sudeste
897,897,35.0,Feminino,Goiás (GO),Analista de Dados,Júnior,1500.0,Até 2 anos,Parda,Centro-Oeste
898,898,29.0,Masculino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Parda,Sudeste
899,899,36.0,Masculino,Rio Grande do Sul (RS),,,18000.0,de 7 a 10 anos,Branca,Sul
900,900,28.0,Masculino,São Paulo (SP),,,18000.0,de 7 a 10 anos,Branca,Sudeste
901,901,46.0,Masculino,Rio Grande do Sul (RS),,,27500.0,Mais de 10 anos,Branca,Sul
902,902,29.0,Feminino,Espírito Santo (ES),Analista de BI,Pleno,7000.0,Até 2 anos,Branca,Sudeste
903,903,26.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,5000.0,Até 2 anos,Branca,Sudeste
904,904,36.0,Masculino,Paraná (PR),Engenheiro de dados,Sênior,18000.0,de 4 a 6 anos,Branca,Sul
905,905,27.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Pleno,7000.0,Até 2 anos,Parda,Sudeste
906,906,31.0,Masculino,Ceará (CE),,,1500.0,Até 2 anos,Branca,Nordeste
907,907,27.0,Masculino,Minas Gerais (MG),Engenheiro de dados,Júnior,3500.0,Até 2 anos,Branca,Sudeste
908,908,30.0,Feminino,São Paulo (SP),,,18000.0,de 4 a 6 anos,Branca,Sudeste
909,909,73.0,Masculino,Rio Grande do Norte (RN),,,,,Branca,Nordeste
910,910,27.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,7000.0,Até 2 anos,Parda,Sudeste
911,911,24.0,Feminino,São Paulo (SP),Cientista de dados,Júnior,2500.0,Até 2 anos,Branca,Sudeste
912,912,,,,,,,,,Desconhecida
913,913,25.0,Masculino,São Paulo (SP),Outra opção,Júnior,1500.0,Até 2 anos,Branca,Sudeste
914,914,34.0,Feminino,,,,5000.0,Até 2 anos,Branca,Desconhecida
915,915,31.0,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
916,916,28.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,Até 2 anos,Parda,Sudeste
917,917,31.0,Masculino,Paraná (PR),Outra opção,Sênior,18000.0,de 4 a 6 anos,Branca,Sul
918,918,25.0,Outro,São Paulo (SP),Analista de Dados,Sênior,7000.0,de 3 a 4 anos,Branca,Sudeste
919,919,24.0,Feminino,,Analista de BI,Pleno,7000.0,Até 2 anos,Branca,Desconhecida
920,920,32.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
921,921,28.0,Masculino,Minas Gerais (MG),Analista de BI,Sênior,5000.0,de 4 a 6 anos,Branca,Sudeste
922,922,31.0,Feminino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 4 a 6 anos,Amarela,Sudeste
923,923,25.0,Masculino,Rio de Janeiro (RJ),,,,,Branca,Sudeste
924,924,33.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,3500.0,de 3 a 4 anos,Branca,Sudeste
925,925,24.0,Masculino,Bahia (BA),Cientista de dados,Pleno,10000.0,Até 2 anos,Parda,Nordeste
926,926,32.0,Masculino,,Cientista de dados,Sênior,40000.0,de 3 a 4 anos,Branca,Desconhecida
927,927,24.0,Masculino,Rio Grande do Sul (RS),Outra opção,Júnior,2500.0,Até 2 anos,Parda,Sul
928,928,31.0,Masculino,Rio de Janeiro (RJ),,,18000.0,de 7 a 10 anos,Branca,Sudeste
929,929,25.0,Masculino,São Paulo (SP),Analista de BI,Pleno,7000.0,Até 2 anos,Parda,Sudeste
930,930,28.0,Masculino,Paraná (PR),Analista de Dados,Sênior,5000.0,de 4 a 6 anos,Branca,Sul
931,931,28.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,18000.0,de 4 a 6 anos,Branca,Sudeste
932,932,58.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,Mais de 10 anos,Amarela,Sudeste
933,933,26.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,7000.0,Até 2 anos,Branca,Sudeste
934,934,25.0,Feminino,Minas Gerais (MG),,,10000.0,de 3 a 4 anos,Branca,Sudeste
935,935,34.0,Feminino,Rio Grande do Norte (RN),Cientista de dados,Pleno,10000.0,Até 2 anos,Preta,Nordeste
936,936,41.0,Masculino,Distrito Federal (DF),Outra opção,Sênior,27500.0,Mais de 10 anos,Branca,Centro-Oeste
937,937,28.0,Masculino,Paraná (PR),,,10000.0,de 4 a 6 anos,Branca,Sul
938,938,24.0,Masculino,Espírito Santo (ES),Analista de Dados,Pleno,5000.0,de 3 a 4 anos,Preta,Sudeste
939,939,30.0,Masculino,Rio de Janeiro (RJ),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca,Sudeste
940,940,30.0,Feminino,Minas Gerais (MG),Outra opção,Sênior,10000.0,Até 2 anos,Branca,Sudeste
941,941,37.0,Masculino,Rio Grande do Sul (RS),Cientista de dados,Pleno,14000.0,Até 2 anos,Branca,Sul
